id,collection,contributor.author,coverage.spatial,coverage.spatial,date.issued,description,identifier.citation,identifier.uri,publisher.place.EN,publisher.place,publisher,rights,subject,subject,title
"34365","2451/33605","Chakrapani, Venkatesan||United Nations Development Programme (UNDP), India",,"India||South Asia","2010-12","The focus of this Transgender Issue Brief is to summarize the various issues faced by Hijras and transgender women in India by using the social exclusion framework, and to highlight the relation between this exclusion and vulnerability to HIV and other
health risks.","http://www.undp.org/content/dam/india/docs/hijras_transgender_in_india_hiv_human_rights_and_social_exclusion.pdf","http://hdl.handle.net/2451/33612",,"[New Delhi]","United Nations Development Programme (UNDP), India","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"LGBT studies||Gender identity||Sexuality||Sexual orientation||Social conditions||Social structure||Sexually transmitted diseases||AIDS||Gender discrimination","Hijras/transgender women in India: HIV, human rights and social exclusion"
"34366","2451/33605","Hamsafar Trust",,"Mumbai||India||South Asia","2013","This report is one of the first in-depth analyses of same-sex behaviour among adolescents in India, providing the field research and background for future directions for research and interventions. Researchers found that MSM (Men who have Sex with Men) who start having sex early have different identities and behaviours compared with those who start later -- potentially indicating a greater sense of sexual desire, orientation, and identity. Furthermore, they are also subjected to 'name calling' and other 'discriminatory behaviour' in the
society. They also found that younger MSM had low levels of awareness about HIV but had high risk behaviours compared with older MSM. Lack of adequate documentation of same-sex behaviour among adolescents often is a deterrent in designing appropriate targeted interventions for this
population. Thus, there is an urgent need to pursue research and develop targeted interventions for same-sex desiring adolescents in India, with an aim to reduce HIV transmission in this population.","http://humsafar.org/ResDown/RESEARCH%20Building%20evidence%20around%20adolescent%20same-sex%20behavior%20and%20vulnerability%20to%20HIV%20-%202013.pdf","http://hdl.handle.net/2451/33613",,"Mumbai","Humsafar Trust","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"UNICEF||Sexually transmitted diseases||LGBT studies||Sexual orientation||AIDS||Public health||India||Mumbai||Demography||Health statistics||Sexual identity||Social conditions||Urban studies","Building evidence around adolescent same-sex behavior and vulnerability to HIV: report prepared [by] The Humsafar Trust"
"34367","2451/33605","Verma, Jagdish Sharan||Seth, Leila||Subramanian, Gopal||Justice J.S. Verma Committee||Committee on Amendments to Criminal Law",,"India||South Asia","2013-01-23","""Dear Prime Minister, This Committee was constituted by GOI Notification No. SA (3003)E, dated December 23, 2012 to look into possible amendments of the Criminal Law to provide for quicker trial and enhanced punishment for criminals committing sexual assault of extreme nature against women. In view of the significance and urgency of the task, the Committee undertook to perform it within 30 days, which task has been completed. Accordingly, the Committee has prepared its Report, which is enclosed herewith. It is the Committee's hope that the promptitude with which this Committee was constituted within a few days of the brutal gang rape in Delhi on December 16, 2012, will continue to accomplish the task by speedy implementation of its Recommendations to retain public confidence in good governance. With regards, Yours Sincerely, J.S. Verma [Committee Chair]""","http://csrindia.org/images/download/Amendments-To-Criminal-Law.pdf","http://hdl.handle.net/2451/33614",,"New Delhi","Government of India, Committee on Amendments to Criminal Law","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Rape -- India -- Prevention||Sex crimes --  India||Women -- Crimes against -- India||Prosecution -- India||Criminal law -- India||Criminal justice, Administration of -- India||Gender violence||Human rights||Social conditions||Sexual assault||Nirbhaya||New Delhi gang rape case||Government documents","Report of the Committee on Amendments to Criminal Law"
"34368","2451/33605","Swaminathan, Hema||Bhatla, Nandita||Chakraborty, Swati",,"South Asia","2007","""The research presented here takes ICRW and the international development community one step closer to understanding how secure property rights might help women protect themselves and their households from adverse social consequences related to HIV, including stigma, poverty and property dispossession. It also is one of the first explorations of women’s property rights
and HIV in South Asia, where the epidemic is severe but remains fairly concentrated among specific populations. The study is a snapshot of women’s experiences of property and HIV in Bangladesh, India and Sri Lanka, where women often are denied their legal rights to property. This snapshot also explores the extent to which organizations are linking women’s property rights and HIV.""","http://www.icrw.org/files/publications/Womens-Property-Rights-as-an-AIDS-Response-Emerging-Efforts-in-South-Asia.pdf","http://hdl.handle.net/2451/33615",,"Washington, DC","Washington, DC : International Center for Research on Women (ICRW)","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.","Inheritance||Human rights","Sexually transmitted diseases||South Asia||Economic conditions||Economic security||Bangladesh||India||Sri Lanka","Women's property rights as an AIDS response: emerging efforts in South Asia"
"34369","2451/33605","Kidd, Ross||Prasad, Nandini||Avula, Jyothsna||Tajuddin, Mirza","India||South Asia",,"2007","""The overall aim is to prevent the spread of HIV and AIDS by making it easier for people living with HIV to access health services, disclose their status and prevent the spread of HIV to others, while also eliminating some of the barriers that impede the ability of uninfected women to protect themselves from the virus. Using the toolkit, you will be able to plan and organize educational sessions with health care providers to challenge HIV-related stigma and gender-based violence, also referred to as gender violence in this report. The toolkit will help you raise awareness of the causes and consequences of stigma and violence, and promote action and advocacy to combat them.""","http://www.icrw.org/files/publications/Reducing-HIV-Stigma-and-Gender-Based-Violence-Toolkit-for-Health-Care-Providers-in-India.pdf","http://hdl.handle.net/2451/33616",,"Washington, DC","International Center for Research on Women (ICRW)","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.","Social advocacy","women's rights||Gender discrimination||Sexually transmitted diseases||Public health||Health policy||Human rights","Reducing HIV stigma and gender-based violence: toolkit for health care providers in India"
"34371","2451/33605","Sharma, Tanmoy","Assam||India||South Asia",,"2012-01-20","""In demonstrations barely reported in the media, peasants and students in the Northeastern Indian state of Assam are fighting together against a proposed gargantuan network of dams across the upper reaches of its rivers in Arunachal Pradesh, one of the world’s six most seismically active regions. The movement has gathered impressive momentum against a project that threatens devastating environmental, demographic and socio-economic impact.""","http://www.opendemocracy.net/printpdf/63727","http://hdl.handle.net/2451/33618",,"London","OpenDemocracy","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Ecology||Democracy||Governance||Civil society||Economic development||India||Rivers||Environment||Assam||Northeast India","Mega dams: campaigning against the plans of the Indian government"
"34372","2451/33605","Peterson, M.J.||Kiratli, Osman||Ercan, Ilke","South Asia","India","2010","""This case study looks at one of the more famous instances of transnational involvement in stakeholder struggles over large dams: the long-running contention over dam construction on the Narmada River in India. Though proposals to build large dams on the Narmada inspired political controversy from the day the first proposals were made in 1947-48, only in the mid-1980s did the controversy take on the transnational aspects for which it is now famous as critics took up the cause of those who would be displaced as the reservoirs created by the dams filled up and raised environmental concerns about the project."" Part of the International Dimensions of Ethics Education in Science and Engineering Case Studies Series.","http://scholarworks.umass.edu/edethicsinscience/15","http://hdl.handle.net/2451/33619",,"Amherst","University of Massachusetts","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Ecology||Environment||Displacement||Governance||Development||Politics||Protests||Livelihoods||India","Narmada dams controversy -- case summary"
"34373","2451/33605","Peterson, M.J.","Bhopal||India||South Asia",,"2009","""The Bhopal case is an in-depth study of the industrial accident at the Union Carbide factory in India that immediately killed 2,000 people, injured another 200,000 to 300,000 more, and immediately raised questions about plant safety and corporate responsibility around the world."" Includes seven detailed appendices: A) Chronology, B) Stakeholders and Level of Responsibility, C) Economic/industrial climate of India, D) Union Carbide Corporation, E) Issues in Chemical Processing, F) Assessing Responsibility: The Legal/Regulatory System, G) Assessing Responsibility: The Engineers and Scientists, and H) Technical Expertise and Managerial Responsibility. Part of the International Dimensions of Ethics Education in Science and Engineering Cast Study Series.","http://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1004&context=edethicsinscience","http://hdl.handle.net/2451/33620",,"Amherst","University of Massachusetts","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Ecology||India||Environment||Industrial accidents||Corporate responsibility||Accountability||Union Carbide||Human rights","Bhopal plant disaster - situation summary"
"34488","2451/33605","Coalition of Rights Based Groups",,"West Bengal||India||South Asia","2011","""Report about a pilot project to bring together two disparate population groups: People Living with HIV and Sexual Minority Group members. The idea of this project is rooted in SAATHII's experiences of working with both population segments, which clearly reflected a range of commonalities in stigma,
discrimination, violence and exclusion faced by these two communities in the social, economic, legal, health and media settings.
But, these two communities did not have a history of working together to address these shared problems.""","http://www.saathii.org/sites/default/files/papers/coap-hra-report-wb_final.pdf","http://hdl.handle.net/2451/33749",,"Kolkata","Kolkata : Coalition of Rights Based Groups","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Sexually Transmitted Diseases (STD)||India||Solidarity and Action Against The HIV Infection in India ( SAATHII)||Social advocacy||Sexual Minority Groups (SMG)||Human rights","Human rights violations faced by people living with HIV and sexual minority populations: Experiences in West Bengal -- Fact Sheet 1: July 2008 - March 2011"
"34598","2451/33605","Lari, Maliha Zia",,"Pakistan","2011-11","A study on the implementation of the ""Honour Killings Act"" (Criminal Law (Amendment) Act 2004), against the background of the position women hold in Pakistan, where ""discrimination against women was formalised by the State and 'legal' impunity for men exploiting and violating women's rights"" was the norm. [OCLC Accession No. 849801424]","http://www.af.org.pk/pub_files/1366345831.pdf","http://hdl.handle.net/2451/33807",,"[Islamabad, Pakistan]","Aurat Publication and Information Service Foundation","NYU Libraries is providing access to these materials as a service to our scholarly community. We do not claim the copyright in these materials, nor can we give permission for their re-use. If you would like to request that we take down any of this material, please write to archive.help@nyu.edu with the following information: Provide the URL of the material that is the basis of your inquiry; Identify the material you have rights to; Provide your contact information, including name, address, telephone number, and e-mail address; Provide a statement of your good-faith belief that the material you identified is infringing of the material you have rights to.",,"Honor killings -- Pakistan||Women -- Crimes against -- Pakistan||Women -- Violence against -- Pakistan||Honor killings||Women -- Crimes against||Women -- Violence against||Women's empowerment||Case law -- Pakistan||Status of women||Discrimination against women||Criminal Law (Amendment) Act 2004","A pilot study on: 'honour killings' in Pakistan and compliance of law"
