id,collection,contributor.author,coverage.temporal,coverage,date.issued,description.abstract,description.additional,description,format,identifier.citation,identifier.uri,language.iso,publisher,rights,subject,title,type.resource,type
"34823","2451/33611",,,"2001-2015","2015-06-12",,,"This archive contains data files in .sav format (SPSS) for Gallup Poll Social Series (GPSS) and other assorted polls that contain the question, ""what is the most important issue facing our country today?"" Note that these polls are not comprehensive; rather, they have been collected here simply because they contain the aforementioned question.",".sav",,"http://hdl.handle.net/2451/33978","en_US",,"Restricted",,"Gallup GPSS and Assorted Poll Data and Questionnaires from 2001-2015","dataset","Dataset"
"34700","2451/33611",,,,"2015-04-07","Millions of US businesses dating back to 2010 and organized by location, sales volume, and number of employees. Perfect for industry trends and market reports. For a full list of indicators, refer to the codebook.",,,,,"http://hdl.handle.net/2451/33892","en",,,"Business","ReferenceUSA Historical Business Data",,"Dataset"
"34636","2451/33611","Oak Ridge National Laboratory||East View Geospatial (Firm)","2014-11-26","2000-2010, 2011, 2012","2014",,"Online interface available at https://arch.library.nyu.edu/databases/database/NYU04478","Using an innovative approach with Geographic Information System and Remote Sensing, ORNL's LandScan, at approximately 1 km resolution, is the finest resolution global population distribution data available and represents an ambient population (average over 24 hours). The LandScan algorithm uses spatial data and imagery analysis technologies and a multi-variable dasymetric modeling approach to disaggregate census counts within an administrative boundary. Since no single population distribution model can account for the differences in spatial data availability, quality, scale, and accuracy as well as the differences in cultural settlement practices, LandScan population distribution models are tailored to match the data conditions and geographical nature of each individual country and region ... The LandScan dataset, first produced in 1998, is updated annually by incorporating new spatial data and imagery analysis into the distribution algorithms.--LandScan Documentation at the Oak Ridge National Laboratory website, viewed Oct. 13, 2014.",,"873820804","http://hdl.handle.net/2451/33839",,"Oak Ridge National Laboratory","NYU only.","Population -- Statistics -- Databases.||World maps, Physical -- Databases.||Population -- Maps -- Databases.","East View Geospatial LandScan global archive","Dataset","Dataset"
"34617","2451/33611",,"2014-11-20",,"2014-06-03",,,"Includes 2010 township GIS maps with about about 11 attribute variables from 2010 population Census data for all townships (Jiedao, Zhen and Xiang) of Mainland China. The variables are population, age, and gender only",,"858438413","http://hdl.handle.net/2451/33823",,"University of Michigan China Data Center","restricted","Cities and towns -- China -- Population -- Statistics -- Databases.||Cities and towns -- China -- Population -- Statistics -- Maps.||Cities and towns -- China -- Census, 2010 -- Databases.","China 2010 township population census data with GIS maps","Dataset","Dataset"
"34613","2451/33611",,"2014-11-12",,"1945","Papers from the Bihar Provincial Muslim League",,,,,"http://hdl.handle.net/2451/33822",,"Sindh Archives, Government of Sindh",,,"Bihar Provincial Muslim League Papers Volume 43 (1908-45)",,"Document"
"34612","2451/33611",,"2014-11-12",,"1945","Papers from the Bengal Provincial Muslim League",,,,,"http://hdl.handle.net/2451/33821",,"Sindh Archives, Government of Sindh",,,"Bengal Provincial Muslim League Papers Volume 42 (1945)",,"Document"
"34611","2451/33611",,"2014-11-12",,"1944","Ppaers from the Bengal Provincial Muslim League",,,,,"http://hdl.handle.net/2451/33820",,"Sindh Archives, Government of Sindh",,,"Bengal Provincial Muslim League Papers Volume 41 (1944)",,"Document"
"34610","2451/33611",,"2014-11-12",,"1943","Papers from the Bengal Provincial Muslim League",,,,,"http://hdl.handle.net/2451/33819",,"Sindh Archives, Government of Sindh",,,"Bengal Provincial Muslim League Papers Volume 40 (1942-43)",,"Document"
"34609","2451/33611",,"2014-11-12",,"1941","Papers from the Bengal Provincial Muslim League",,,,,"http://hdl.handle.net/2451/33818",,"Sindh Archives, Government of Sindh",,,"Bengal Provincial Muslim League Papers Volume 39 (1939-41)",,"Document"
"34608","2451/33611",,"2014-11-12",,"1938","Papers from the Bengal Provincial Muslim League",,,,,"http://hdl.handle.net/2451/33817",,"Sindh Archives, Government of Sindh",,,"Bengal Provincial Muslim League Papers Volume 38 (1932-38)",,"Document"
