Title,"Identifier - fales_io_print000001, bobst_io_print000002 or similar (don't duplicate numbers)",Handle,TypeOfResource,Creator,Contributor,Subject,Tags,Genre,Date,Date Type,Publisher,Publisher Location,Language,Geographic Location,Description
"2° Battaglione Libico, ""Gli Azzurri""",fales_io_card000001,http://hdl.handle.net/2333.1/280gb8bb,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Libya,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya,Bayonet wielding soldier with the foreground of a quote from Benito Mussolini.
,fales_io_card000002,http://hdl.handle.net/2333.1/xgxd281k,still image,"Pisani, Vittorio",,"Turco-Italian War, 1911-1912 ","Italian military|Libya|Turco-Italian War, 1911-1912 ",Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya,Askari  carrying  battalion flag.
"VII Battaglione Libico, ""Medaglia d'Argento al V.M. al Gagliardetto""",fales_io_card000003,http://hdl.handle.net/2333.1/stqjq56x,still image,"Canevari, Angelo",,"Italy--Colonies--Africa

",Italian military|Libya|Battle of Agedabia,Postcards,,,,,,"Agedabia, Libya","Commemorates the Medal of Iron awarded to V.M. AL Gagliardetto at the battle of Colline de Ferro in Agedabia, Libya."
"""Baptism of Fire in the Victorious Battle of Bu-Kemez""",fales_io_card000004,http://hdl.handle.net/2333.1/p2ngf4qv,still image,,,"Turco-Italian War, 1911-1912 ","Italian military|Sidi Said, Libya|Cavaciocchi, Alberto|",Postcards,,,,,ita,"Sidi Said, Libya",Commemorates the battle at Sidi Said in 1912. Includes a painting of Italian Colonel Alberto Cavaciocchi and a poem written about the battle.
VI° Battaglione Indigeni di Eritrea in Cirenaica dall'11 Aprile 1913 al 31 Marzo 1914,fales_io_card000005,http://hdl.handle.net/2333.1/j9kd546q,still image,,,"Turco-Italian War, 1911-1912 ","Italian military|Libya|Askari (Eritrean)|Turco-Italian War, 1911-1912 ",Postcards,,,,,ita,Libya,Commemorates an Askari (Eritrean) battalion in the Italian army. Includes a map of Libya illustrating the battalion's line of march through Libya and a listing of  Italian officers.
VII Battaglione Eritreo ,fales_io_card000006,http://hdl.handle.net/2333.1/djh9w3n0,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Libya|Askari (Eritrean),Postcards,,,,,ita,Libya,Commemorates an Askari (Eritrian) battalion in the Italian army. Includes a list of major engagements and a listing of Italian officers.
XV Battaglione Eritreo,fales_io_card000007,http://hdl.handle.net/2333.1/8sf7m34v,still image,,,"Italy--Colonies--Africa

",Italian military|Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya,Askari (Eritrean) soldier in the Italian army carrying a rifle next to a lion. Includes dates of Bronze Medals awarded to the battalion.
VIII Battaglione Eritreo,fales_io_card000008,http://hdl.handle.net/2333.1/51c5b2mj,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Libya|Askari (Eritrean),Postcards,,,Doyen,"Turin, Italy",ita,Libya,Two Askari (Eritrean) soldiers holding the battalion flag.
IX Battaglione Eritreo,fales_io_card000009,http://hdl.handle.net/2333.1/1893224n,still image,,,"Turco-Italian War, 1911-1912 ",Italian military|Libya|Askari (Eritrean),Postcards,,,Doyen,"Turin, Italy",ita,Libya," Battle fought by Askari (Eritrean) soldiers at Zuetina, Libya on March 12, 1914."
"Battaglione ""Roma""- XIII Askari Eritrei (13° Battaglione Eritreo)-  Askari waving flag with SPQR wolf statue in background + desert",fales_io_card000010,http://hdl.handle.net/2333.1/wm37pzg1,still image,,,"Italy--Colonies--Africa

",Italian military|Libya|Askari (Eritrean),Postcards,,,Doyen,"Turin, Italy",ita,," Askari (Eritrean) waving a flag with an SQPR (""The Senate and the Roman People"") wolf statue in the background. Postmarked with address and handwritten correspondence on back."
R°. Corpo di Truppe Coloniali- Eritrea- Compagnia Cannonieri,fales_io_card000011,http://hdl.handle.net/2333.1/rv15dz04,still image,,,"Italy--Colonies--Africa

",Italian military|Libya|Askari (Eritrean),Postcards,,,Doyen,"Turin, Italy",ita,,Askari (Eritrean) troops firing cannon.
XXI° Battaglione Eritreo della Cirenaica,fales_io_card000012,http://hdl.handle.net/2333.1/n2z34xfh,still image,"Pisani, Vittorio",,"Italy--Colonies--Africa

",Italian military|Libya|Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya,"Askari (Eritrean) soldier with a rifle and a battalion flag. The motto of the battalion is written in Latin (""All the Bold Light"") with the drawing of a lion with a knife in his mouth. The back list the engagements of the battalion: Caserma Turca (8/5/1925); Uadi Gantar (11/6/1925); Uadi Aisilau (5/25/1926)' and Uadi El Cuf Gereieb (7/7/1926)"
"XIX Battaglione Eritreo Misto, ""El Mergheb""",fales_io_card000013,http://hdl.handle.net/2333.1/h9w0vwws,still image,"Pisani, Vittorio",,"Italy--Colonies--Africa

",Italian military|Libya|Askari (Eritrean),Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya,"Askari (Eritrean) battalion climbing a hill toward battle. The reverse side Includes a quote noting the soldiers ""resolution, courage, and loyalty"" to the King in the battles of Misurata, Suani ben Adem, El Mergheb, Sidi se Sakiah, Fondue Scebani (1/28 through 6/22, 1922)"
Italian children with flags/gifts greeting Askari- writing dates to 12/23/1915,fales_io_card000014,http://hdl.handle.net/2333.1/cjsxkwcj,still image,,,"Italy--Colonies--Africa

",Askari (Eritrean)|Italian military,Postcards,,,,,,, Italian children greeting Askari. Includes  writing and postage stamp.
"XIII Battaglione Eritreo, ""Roma""",fales_io_card000015,http://hdl.handle.net/2333.1/7sqv9vv6,still image,"Pisani, Vittorio",,"Italy--Colonies--Africa

",Askari (Eritrean)|Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya, Askari (Eritrean) holding a flag and rifle with a drawing of a lion in the corner. Includes a list of battle engagements by the battalion from 1917-1930.
"III Battaglione Eritreo, ""Galliano""",fales_io_card000016,http://hdl.handle.net/2333.1/41ns1vcb,still image,"Pisani, Vittorio",,"Italy--Colonies--Africa

",Askari (Eritrean)|Italian military,Postcards,,,V.E. Boeri,"Rome, Italy",ita,Libya|Somalia, Askari (Eritrean) armed with rifles and a sabre. Lists Italian military engagements by the battalion in Libya and Somalia.
"Divisione Speciale ""S"" ",fales_io_card000017,http://hdl.handle.net/2333.1/0cfxprm5,still image,,,"Italo-Ethiopian War, 1935-1936",Italian military,Postcards,,,,,,Ethiopia|Sudan|Ethiopia," Italian officer and Askari of a battalion that fought in Sudan, Somalia, and Ethiopia."
XV Gruppo Squadroni Coloniali,fales_io_card000018,http://hdl.handle.net/2333.1/vmcvdr87,still image,"Tafuri, Pittore, Pittore",,"Italo-Ethiopian War, 1935-1936",Askari (Eritrean)|Libya,Postcards,,,V.E. Boeri,"Roma, Italy",ita,Libya," Three Askari on horseback with a sabre, flag and bugle."
XXVIII° Battaglione Indigeni Dell'Eritrea,fales_io_card000019,http://hdl.handle.net/2333.1/qv9s4qqn,still image,"Ferrari, Giulio",,"Italy--Colonies--Africa

",Askari (Eritrean)|Libya,Postcards,,,V.E. Boeri,"Roma, Italy",ita,Libya, Two Askari with a flag and a lion.
"12° Reggimento Artiglieria della 'Sila,' Africa Orientale",fales_io_card000020,http://hdl.handle.net/2333.1/m37pvq55,still image,,,"Italy--Colonies--Africa

",Askari ,Postcards,,,V.E. Boeri,"Roma, Italy",ita,," Askari and an Italian soldier marching with rifles. Title translates as ""The Last Venture (Audere Ultima"")"
"II Battaglione Eritreo ""Hidalgo""",fales_io_card000021,http://hdl.handle.net/2333.1/gb5mkpnt,still image,,,"Italo-Ethiopian War, 1935-1936|Italo-Ethiopian War, 1895-1896 ",Askari (Eritrean)|Libya,Postcards,,,V.E. Boeri,"Roma, Italy",ita,Libya, Askaro wielding a rifle/bayonet with four Askari in background. Lists various Italian military engagements of the battalion.
